;;
199.  ;Здание духовной консистории Владивостокской епархии;Приморский край, г. Владивосток, ул. Пологая, 65
200.  ;Жилой особняк И.Лангелитье;Приморский край, г. Владивосток, ул. Пологая, 67 
201.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пологая, 69
202.  ;Жилой дом;Приморский край, г. Владивосток, ул. Посьетская, 21
203.  ;Жилой дом;Приморский край, г. Владивосток, ул. Посьетская, 43
204.  ;Жилой дом почтового ведомства;Приморский край, г. Владивосток, пер. Почтовый, д. 5
205.  ;Жилой дом почтового ведомства;Приморский край, г. Владивосток, Почтовый пер., 5б
206.  ;Доходный дом;Приморский край, г. Владивосток, Почтовый пер., 7
207.  ;Жилой дом почтового ведомства;Приморский край, г. Владивосток, Почтовый пер., 7А
208.  ;Синагога;Приморский край, г. Владивосток, ул. Прапорщика Комарова, д. 5
209.  ;Жилой дом;Приморский край, г. Владивосток, ул. Прапорщика Комарова ул., 7, стр.2
210.  ;Жилой дом;Приморский край, г. Владивосток, ул. Прапорщика Комарова, 9, стр. 1
211.  ;Жилой дом;Приморский край, г. Владивосток, ул. Прапорщика Комарова, 9, стр. 3
212.  ;Жилой дом;Приморский край, г. Владивосток, ул. Прапорщика Комарова, 13
213.  ;Жилой дом;Приморский край, г. Владивосток, ул. Прапорщика Комарова, 15, стр. А
214.  ;Жилой дом;Приморский край, г. Владивосток, ул. Прапорщика Комарова, д. 19/2
215.  ;Дом, в котором в 1910 - 1913 гг. жил известный советский писатель А.А. Фадеев;Приморский край, г. Владивосток, ул. Прапорщика Комарова, 21
216.  ;Дом, в котором в 1884-1889 гг. жил известный исследователь края, основатель Общества изучения Амурского края Ф.Ф. Буссе;Приморский край, г. Владивосток, ул. Прапорщика Комарова, 23а
217.  ;Многоквартирный жилой дом - памятник творчества известного дальневосточного архитектора А. И. Порецкого (ныне - художественное училище);Приморский край, г. Владивосток, ул. Пушкинская, 2 (ул. Светланская, 65а)
218.  ;Дом известного общественного деятеля Владивостока Н.В. Соллогуба, в котором в 1884 г. начала издаваться газета Владивосток- первая газета края;Приморский край, г. Владивосток, ул. Пушкинская, 7
219.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 8
220.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 8-А
221.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 8б
222.  ;Здание бывшей лютеранской церкви святого Павла (ныне - Исторический музей ТОФ);г. Владивосток, Пушкинская ул., 14
223.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 15, стр. 1
224.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 15, стр. 2 (Б)
225.  ;Жилой дом;Приморский край, г. Владивосток, ул. пушкинская, 15, стр. 3 (А)
226.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 16
227.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 17
228.  ;Здание бывшего Китайского консульства;Приморский край, г. Владивосток, ул. Пушкинская, 19
229.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 20
230.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 22
231.  ;Здание казначейства;Приморский край, г. Владивосток, ул. Пушкинская, 23
232.  ;Дом, в котором в 1918-1920 гг. жил известный советский поэт Н. Асеев;Приморский край, г. Владивосток, Пушкинская ул., 25
233.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 25 е
234.  ;Жилой дом;Приморский край, г. Владивосток, Пушкинская ул., 25 в
235.  ;Жилой дом - памятник советской архитектуры 40-х годов, памятник творчества архитектора А.И. Порецкова;Приморский край, г. Владивосток, ул. Пушкинская, 25а
236.  ;Здание бывшего Собрания приказчиков, в котором в 1906 г. нелегально работал первый социал-демократический кружок под руководством Л.М. Карахана, впоследствии известного советского дипломата;Приморский край, г. Владивосток, ул. Пушкинская, 27
237.  ;Дом Синкевича.;Приморский край, г. Владивосток, ул. Пушкинская, 33 (стр. 1,2,3,4) 
;АНСАМБЛЬ;
238.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, д. 35
239.  ;"""Ансамбль деловых и жилых домов братьев Синкевича и Фихмана """;Приморский край, ул. Пушкинская, 33 и 35
;АНСАМБЛЬ;
240.  ;Дом, в котором жил и работал известный общественный деятель края Соловьев Н.М;Приморский край, г. Владивосток, ул. Пушкинская, 37
241.  ;Здание Министерской женской гимназии (ныне - средняя школа № 9);Приморский край, г. Владивосток, ул. Пушкинская, 39
242.  ;Здание Инженерного управления Владивостокской крепости, в котором в 1912-1915 гг. работал известный русский военный инженер А.П. Шошин;Приморский край, г. Владивосток, ул. Пушкинская, 41
243.  ;Памятник  герою-комсомольцу Виталию Баневуру;Приморский край, г. Владивосток, в районе ул. Пушкинская, 63
244.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 69
245.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 71
246.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 73
247.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 97
248.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пушкинская, 99
